92,21,251
92,23,285
92,15,170
92,8,208
92,18,158
92,7,246
92,4,232
92,5,317
92,12,350
92,24,168
92,22,75
92,13,172
92,3,161
92,11,128
92,16,93
92,9,288
92,14,123
92,1,223
92,2,104
92,17,285
24,2,233
24,4,60
24,3,109
24,9,195
24,1,238
24,19,278
24,16,131
24,23,186
24,6,252
24,24,151
24,21,139
24,11,306
24,8,337
24,15,329
24,5,183
16,2,143
16,17,303
16,24,192
16,23,298
16,19,316
16,15,277
16,13,285
16,11,201
16,10,313
16,9,213
12,3,349
12,15,299
12,11,264
12,22,286
9,23,266
9,4,123
9,18,153
9,20,278
9,22,170
72,8,106
72,10,99
72,17,194
72,3,68
72,11,266
72,16,244
72,22,110
72,18,234
72,24,111
72,21,221
72,4,62
72,1,275
72,7,219
72,23,347
72,9,168
72,12,118
72,19,218
72,14,167
72,13,301
72,15,174
72,5,147
72,6,316
39,15,94
39,13,135
39,7,116
39,4,247
39,10,272
39,20,95
39,8,89
39,19,159
39,23,316
39,9,253
39,2,108
39,17,175
39,18,301
39,6,75
39,16,240
90,19,311
90,4,179
90,15,294
71,23,328
71,12,261
71,5,64
71,2,100
71,13,153
71,22,62
71,19,123
71,6,64
71,24,259
71,9,297
71,7,320
71,3,250
71,4,116
71,14,153
71,17,210
71,16,215
71,8,178
71,21,82
71,1,297
71,20,244
71,15,179
99,9,247
99,23,188
99,20,80
99,12,136
99,6,83
99,17,300
99,16,149
99,18,61
99,11,135
99,19,311
99,13,282
99,14,273
99,21,68
99,5,194
99,7,295
99,3,227
99,1,179
99,2,212
99,15,354
99,24,145
99,10,259
99,22,221
99,8,292
12,1,232
12,6,348
12,12,205
12,10,264
12,16,115
12,23,339
12,17,313
12,13,144
12,7,237
12,2,350
12,11,144
12,22,173
12,18,308
12,8,334
12,9,193
12,4,157
12,3,98
12,20,309
49,24,169
49,5,82
49,22,217
49,8,100
49,1,309
49,12,353
49,21,73
49,7,278
49,2,334
49,9,98
49,13,325
49,4,166
49,16,146
49,11,154
49,14,76
9,15,348
9,11,269
9,22,216
9,24,77
9,3,335
9,14,206
9,12,166
9,6,325
9,13,328
9,2,134
56,17,84
56,19,61
56,20,359
56,7,91
56,18,129
56,2,320
56,15,239
56,10,148
56,14,67
56,1,347
56,6,119
56,5,313
56,3,210
56,12,194
56,4,276
21,21,166
21,6,116
21,23,144
21,1,268
21,4,115
21,10,63
21,18,341
33,2,199
33,8,267
33,3,159
33,12,297
33,6,354
33,17,69
33,22,249
74,8,117
74,10,88
74,13,299
74,19,293
77,20,184
77,1,123
77,6,181
77,2,240
77,9,87
77,4,119
77,16,294
77,5,305
77,13,89
77,14,131
77,19,60
77,3,178
77,12,359
77,15,104
77,8,194
77,18,214
77,21,322
23,6,173
23,14,199
23,1,126
23,23,194
23,22,161
23,9,348
23,3,244
23,20,123
23,4,263
23,2,131
23,8,226
23,17,309
23,16,167
23,15,60
23,18,74
23,12,125
23,5,138
23,13,177
23,10,344
9,22,251
9,17,79
9,11,344
9,10,138
9,19,87
9,18,295
9,12,308
9,7,93
9,14,201
9,3,134
9,1,76
9,2,187
9,13,117
9,4,278
9,15,251
9,8,342
9,5,255
14,24,221
14,6,332
14,1,327
90,23,209
90,6,217
90,1,324
90,9,125
90,18,315
90,13,141
90,4,99
90,7,204
90,21,111
96,1,107
96,21,195
96,6,161
96,24,264
96,10,289
96,19,165
96,11,303
96,2,284
96,18,200
96,20,356
96,14,244
96,3,160
96,23,176
96,8,167
96,17,317
96,7,243
96,22,113
96,15,64
96,13,292
96,5,77
96,4,102
37,8,124
37,9,204
37,19,153
37,4,235
41,20,63
41,21,146
41,15,251
41,18,239
41,6,207
41,22,158
41,12,330
41,11,121
41,5,175
41,16,76
41,17,87
41,14,194
16,14,307
16,4,258
93,19,264
93,21,215
93,3,335
93,2,306
93,10,121
93,16,277
93,1,101
93,14,293
93,17,338
93,20,274
93,6,90
93,23,320
93,9,83
93,15,61
93,7,257
17,19,205
17,9,222
17,23,144
17,10,88
17,1,194
17,12,309
17,7,235
17,13,292
17,3,244
17,16,229
17,14,298
17,5,104
17,8,110
17,4,299
17,20,342
17,22,116
17,24,349
17,2,241
17,21,284
17,11,223
17,18,314
17,6,160
71,16,138
71,4,125
71,9,105
71,18,256
71,15,345
71,22,258
71,24,285
71,2,340
71,19,166
71,1,97
71,8,359
71,13,106
71,10,243
19,3,182
19,12,213
19,7,189
19,17,266
19,15,333
19,19,151
19,4,253
19,16,97
19,9,234
19,21,180
19,24,162
19,20,266
19,10,230
19,2,296
19,22,130
19,5,278
19,13,234
19,1,170
19,8,230
19,18,210
66,15,133
66,10,283
66,7,92
66,1,100
66,24,282
66,11,121
66,17,347
66,21,130
22,6,172
22,5,258
22,12,217
22,22,324
22,16,178
22,3,206
22,17,159
22,9,162
22,21,288
22,13,64
64,18,98
64,14,319
64,21,89
64,8,320
64,9,291
64,5,239
64,2,233
64,17,100
64,15,163
64,4,205
64,6,211
64,22,353
64,11,131
64,16,331
64,7,276
64,23,139
76,15,66
76,11,226
76,24,120
76,9,150
76,12,328
76,13,153
76,14,350
76,18,271
76,23,286
76,2,216
76,1,335
76,19,303
76,16,252
76,7,176
76,17,346
76,10,159
76,5,234
76,3,333
76,20,72
76,22,298
76,21,229
55,22,278
55,12,112
55,21,166
55,17,284
55,9,283
57,17,291
57,2,67
57,20,352
57,13,355
57,14,347
57,10,249
21,5,67
21,3,273
21,24,332
21,6,302
21,9,194
21,12,127
21,20,250
21,1,316
21,10,125
21,4,64
21,18,70
21,14,309
21,11,289
21,13,211
21,19,66
21,15,226
21,7,144
21,8,63
21,23,77
21,21,249
21,2,140
21,16,71
